       Mass(Msol)       Age (Myr)
       1.0246264     0.070000000
      0.44102913     0.070000000
       1.7615482     0.070000000
      0.63532821     0.070000000
       2.3502791     0.070000000
       3.8016308     0.070000000
      0.66222109     0.070000000
       2.7656557     0.070000000
       8.8636565     0.070000000
       2.8205850     0.070000000
       2.1340097     0.070000000
       2.6080457     0.070000000
      0.66051468     0.070000000
      0.35298050     0.070000000
      0.63857792     0.070000000
      0.45410452     0.070000000
       1.0761266     0.090000000
     0.068801962     0.090000000
       1.3603562     0.090000000
       9.9867488     0.090000000
       8.9490365     0.090000000
       1.9359692     0.090000000
      0.72963688     0.090000000
       1.3505955     0.090000000
       1.0838153     0.090000000
       3.1880642     0.090000000
       1.0749805     0.090000000
       4.7425459     0.090000000
       5.8589173     0.090000000
      0.32449992     0.090000000
       1.2067859     0.090000000
      0.34901077     0.090000000
       1.5993072      0.10000000
      0.74119417      0.10000000
       3.4917215      0.10000000
      0.84706454      0.10000000
      0.96744684      0.10000000
      0.54363152      0.10000000
       7.9893438      0.10000000
       2.7186028      0.10000000
       2.6630744      0.10000000
       1.9101827      0.10000000
      0.69151926      0.10000000
       2.2630407      0.10000000
       1.3461644      0.10000000
       1.5987609      0.10000000
       6.3915403      0.10000000
       2.1253496      0.10000000
       3.2791025      0.10000000
       1.1211081      0.10000000
       3.2598427      0.10000000
       2.7716027      0.10000000
       2.3054891      0.10000000
       10.431957      0.10000000
      0.62428824      0.10000000
       1.5611255      0.10000000
       4.1385941      0.10000000
      0.68910508      0.10000000
       2.6916499      0.10000000
       6.7443186      0.10000000
      0.53846156      0.10000000
       3.4631117      0.10000000
      0.60550416      0.10000000
       2.9404917      0.10000000
       8.0840399      0.10000000
       2.2150859      0.10000000
       2.9801381      0.10000000
       4.3351492      0.10000000
       3.0610260      0.10000000
      0.92981593      0.10000000
       1.1254156      0.10000000
       2.5645248      0.10000000
       1.8401722      0.11000000
      0.86756012      0.11000000
      0.19024770      0.11000000
       1.9894381      0.11000000
       2.6656270      0.11000000
       2.3554588      0.11000000
       1.9801216      0.11000000
       5.7199601      0.11000000
      0.81517046      0.11000000
       2.2359030      0.11000000
      0.41845335      0.11000000
       4.9674884      0.11000000
       2.1482028      0.11000000
       2.9040979      0.11000000
       4.2650574      0.11000000
       3.3920181      0.11000000
       2.1497352      0.11000000
       1.2872974      0.11000000
       5.1031715      0.11000000
      0.56626534      0.11000000
       1.1259048      0.11000000
       2.9868936      0.11000000
      0.84363165      0.11000000
      0.28851790      0.11000000
       1.9960871      0.11000000
      0.30275717      0.11000000
      0.88457587      0.11000000
       4.5934230      0.11000000
       5.3512838      0.11000000
      0.80314558      0.11000000
       1.6213037      0.11000000
       4.2814120      0.11000000
      0.55276205      0.11000000
      0.87606330      0.11000000
       1.1181398      0.11000000
      0.67746467      0.11000000
      0.47844064      0.11000000
       2.0750016      0.11000000
      0.85377630      0.11000000
       1.8270418      0.11000000
       2.2977840      0.11000000
      0.99806816      0.11000000
       4.6175844      0.11000000
       1.6655326      0.11000000
       3.9524875      0.11000000
       2.3368425      0.11000000
       3.1320078      0.11000000
      0.58916073      0.11000000
       7.1622955      0.11000000
       3.3529172      0.11000000
      0.89260847      0.11000000
       1.1904014      0.11000000
       1.4951927      0.11000000
       6.8439549      0.11000000
      0.90418913      0.11000000
       2.5226960      0.11000000
      0.31350705      0.12000000
      0.76302821      0.12000000
      0.40474223      0.12000000
       1.3261124      0.12000000
       4.2753945      0.12000000
       3.0491657      0.12000000
       5.7407581      0.12000000
      0.84662959      0.12000000
       1.6346163      0.12000000
       1.8443126      0.12000000
       1.6196598      0.12000000
       1.9417660      0.12000000
       1.6310786      0.12000000
       1.9376318      0.12000000
       7.7928596      0.12000000
       2.0571809      0.12000000
       1.1986126      0.12000000
       4.2428780      0.12000000
       3.3271619      0.12000000
       4.4610376      0.12000000
      0.95662659      0.12000000
       2.1671945      0.12000000
       4.0864515      0.12000000
       2.1185280      0.12000000
      0.47506740      0.12000000
       2.5894722      0.12000000
      0.54762531      0.12000000
       1.3114781      0.12000000
       6.1634976      0.12000000
       3.2424419      0.12000000
       1.1810374      0.12000000
       3.6329481      0.12000000
       1.5230915      0.12000000
       7.0190929      0.12000000
       9.5110867      0.12000000
       2.1570153      0.12000000
      0.74836378      0.12000000
       1.1713907      0.12000000
       2.6668407      0.12000000
      0.60054971      0.12000000
       1.4491760      0.12000000
      0.11812947      0.12000000
       7.0466665      0.12000000
       3.6878544      0.12000000
       1.6689778      0.12000000
       5.0310958      0.12000000
       1.3854506      0.12000000
       2.1294464      0.12000000
       1.1730573      0.12000000
       2.3823103      0.12000000
      0.83377081      0.12000000
       1.7091857      0.12000000
       1.2242185      0.12000000
      0.11209957      0.12000000
       6.9384579      0.12000000
       3.4936663      0.12000000
      0.26956189      0.13000000
       1.1715728      0.13000000
      0.76537884      0.13000000
       1.2761096      0.13000000
       10.011589      0.13000000
       4.3718612      0.13000000
       7.7480613      0.13000000
       3.1816677      0.13000000
       1.8866153      0.13000000
       1.3806327      0.13000000
      0.76126047      0.13000000
      0.31681413      0.13000000
      0.62298487      0.13000000
